scenario,query_id,role,strategy,policy_version,authorized_count,authorized_selectivity,lid,lid_scale_instability,relative_contrast,radius_expansion,policy_churn,embedding_drift,risk_score,recall_at_k,evidence_sufficient,unauthorized_candidates,unauthorized_context,shortfall,latency_ms,effort_proxy,selected,serving_cost,recall_target_met,evidence_basis,evidence_query_id,authorized_solution_exists,authorized_evidence_bundle_ids,complete_evidence_bundle_ids,answered,evidence_supported_emission,false_permit,false_denial
aligned,0,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,7.969517236928228,0.20493252058734943,10.99615039675643,1.1555062494420167,0.0,0.0,0.14958311452114983,1.0,,0,0,0,0.408917,128,True,,True,unavailable,,,(),(),,,,
aligned,0,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,7.969517236928228,0.20493252058734943,10.99615039675643,1.1555062494420167,0.0,0.0,0.14958311452114983,1.0,,0,0,0,0.122667,512,False,,True,unavailable,,,(),(),,,,
aligned,0,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,7.969517236928228,0.20493252058734943,10.99615039675643,1.1555062494420167,0.0,0.0,0.14958311452114983,1.0,,0,0,0,0.345166,755,False,,True,unavailable,,,(),(),,,,
aligned,0,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,7.969517236928228,0.20493252058734943,10.99615039675643,1.1555062494420167,0.0,0.0,0.14958311452114983,1.0,,0,0,0,0.052333,10,False,,True,unavailable,,,(),(),,,,
aligned,1,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,9.242360301184501,0.16381221174361,8.249964210396318,1.1463697567766296,0.0,0.0,0.1475985862342495,0.9,,0,0,0,0.043666,128,True,,True,unavailable,,,(),(),,,,
aligned,1,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,9.242360301184501,0.16381221174361,8.249964210396318,1.1463697567766296,0.0,0.0,0.1475985862342495,1.0,,0,0,0,0.088958,512,False,,True,unavailable,,,(),(),,,,
aligned,1,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,9.242360301184501,0.16381221174361,8.249964210396318,1.1463697567766296,0.0,0.0,0.1475985862342495,1.0,,0,0,0,0.058,755,False,,True,unavailable,,,(),(),,,,
aligned,1,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,9.242360301184501,0.16381221174361,8.249964210396318,1.1463697567766296,0.0,0.0,0.1475985862342495,1.0,,0,0,0,0.040292,10,False,,True,unavailable,,,(),(),,,,
aligned,2,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,8.026289993599159,0.27988445881414686,10.95555930600408,1.1327923441693708,0.0,0.0,0.1713288207002239,1.0,,0,0,0,0.045542,128,True,,True,unavailable,,,(),(),,,,
aligned,2,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,8.026289993599159,0.27988445881414686,10.95555930600408,1.1327923441693708,0.0,0.0,0.1713288207002239,1.0,,0,0,0,0.086875,512,False,,True,unavailable,,,(),(),,,,
aligned,2,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,8.026289993599159,0.27988445881414686,10.95555930600408,1.1327923441693708,0.0,0.0,0.1713288207002239,1.0,,0,0,0,0.049292,755,False,,True,unavailable,,,(),(),,,,
aligned,2,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,8.026289993599159,0.27988445881414686,10.95555930600408,1.1327923441693708,0.0,0.0,0.1713288207002239,1.0,,0,0,0,0.038041,10,False,,True,unavailable,,,(),(),,,,
aligned,3,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,9.019978779436228,0.22346571603095153,8.636136108925685,1.1491749441300458,0.0,0.0,0.1637826194670367,1.0,,0,0,0,0.038709,128,True,,True,unavailable,,,(),(),,,,
aligned,3,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,9.019978779436228,0.22346571603095153,8.636136108925685,1.1491749441300458,0.0,0.0,0.1637826194670367,1.0,,0,0,0,0.084417,512,False,,True,unavailable,,,(),(),,,,
aligned,3,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,9.019978779436228,0.22346571603095153,8.636136108925685,1.1491749441300458,0.0,0.0,0.1637826194670367,1.0,,0,0,0,0.041875,755,False,,True,unavailable,,,(),(),,,,
aligned,3,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,9.019978779436228,0.22346571603095153,8.636136108925685,1.1491749441300458,0.0,0.0,0.1637826194670367,1.0,,0,0,0,0.073042,10,False,,True,unavailable,,,(),(),,,,
aligned,4,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,7.242546574835533,0.20850532193752688,12.421847995165251,1.1680373164020974,0.0,0.0,0.14546735491417143,1.0,,0,0,0,0.050667,128,True,,True,unavailable,,,(),(),,,,
aligned,4,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,7.242546574835533,0.20850532193752688,12.421847995165251,1.1680373164020974,0.0,0.0,0.14546735491417143,1.0,,0,0,0,0.097208,512,False,,True,unavailable,,,(),(),,,,
aligned,4,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,7.242546574835533,0.20850532193752688,12.421847995165251,1.1680373164020974,0.0,0.0,0.14546735491417143,1.0,,0,0,0,0.056125,755,False,,True,unavailable,,,(),(),,,,
aligned,4,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,7.242546574835533,0.20850532193752688,12.421847995165251,1.1680373164020974,0.0,0.0,0.14546735491417143,1.0,,0,0,0,0.03825,10,False,,True,unavailable,,,(),(),,,,
aligned,5,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,7.189992130171379,0.12786015840668985,9.499351176463248,1.2056362935990808,0.0,0.0,0.12527570728619938,1.0,,0,0,0,0.039792,128,True,,True,unavailable,,,(),(),,,,
aligned,5,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,7.189992130171379,0.12786015840668985,9.499351176463248,1.2056362935990808,0.0,0.0,0.12527570728619938,1.0,,0,0,0,0.086917,512,False,,True,unavailable,,,(),(),,,,
aligned,5,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,7.189992130171379,0.12786015840668985,9.499351176463248,1.2056362935990808,0.0,0.0,0.12527570728619938,1.0,,0,0,0,0.044375,755,False,,True,unavailable,,,(),(),,,,
aligned,5,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,7.189992130171379,0.12786015840668985,9.499351176463248,1.2056362935990808,0.0,0.0,0.12527570728619938,1.0,,0,0,0,0.03725,10,False,,True,unavailable,,,(),(),,,,
aligned,6,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,8.483958292603154,0.22792191744777446,10.870770053591746,1.146895702867712,0.0,0.0,0.15938294002899447,1.0,,0,0,0,0.038042,128,True,,True,unavailable,,,(),(),,,,
aligned,6,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,8.483958292603154,0.22792191744777446,10.870770053591746,1.146895702867712,0.0,0.0,0.15938294002899447,1.0,,0,0,0,0.085292,512,False,,True,unavailable,,,(),(),,,,
aligned,6,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,8.483958292603154,0.22792191744777446,10.870770053591746,1.146895702867712,0.0,0.0,0.15938294002899447,1.0,,0,0,0,0.040958,755,False,,True,unavailable,,,(),(),,,,
aligned,6,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,8.483958292603154,0.22792191744777446,10.870770053591746,1.146895702867712,0.0,0.0,0.15938294002899447,1.0,,0,0,0,0.036042,10,False,,True,unavailable,,,(),(),,,,
aligned,7,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,7.788982635547204,0.1672658027112495,8.263731203172739,1.1747544902799536,0.0,0.0,0.14109111476976058,1.0,,0,0,0,0.037416,128,True,,True,unavailable,,,(),(),,,,
aligned,7,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,7.788982635547204,0.1672658027112495,8.263731203172739,1.1747544902799536,0.0,0.0,0.14109111476976058,1.0,,0,0,0,0.084792,512,False,,True,unavailable,,,(),(),,,,
aligned,7,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,7.788982635547204,0.1672658027112495,8.263731203172739,1.1747544902799536,0.0,0.0,0.14109111476976058,1.0,,0,0,0,0.034084,755,False,,True,unavailable,,,(),(),,,,
aligned,7,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,7.788982635547204,0.1672658027112495,8.263731203172739,1.1747544902799536,0.0,0.0,0.14109111476976058,1.0,,0,0,0,0.0365,10,False,,True,unavailable,,,(),(),,,,
